,family_id,members_num,family_lv,active_score,dt
343,1019369696,1.0,1.0,8.0,20221104
344,-784918294,37.0,1.0,1201.0,20221104
345,-54414741,32.0,1.0,1221.0,20221104
346,-1010361974,1.0,1.0,129.0,20221104
347,-26241226,19.0,1.0,73.0,20221104
348,383064700,36.0,1.0,577.0,20221104
349,-644871972,7.0,1.0,560.0,20221104
350,-1142693930,4.0,1.0,33.0,20221104
351,-1978088205,6.0,1.0,5746.0,20221104
352,584570654,49.0,1.0,442.0,20221104
353,510273649,1.0,1.0,287.0,20221104
354,933224302,1.0,1.0,0.0,20221104
355,-2134313880,1.0,1.0,0.0,20221104
356,-1793450880,39.0,5.0,1987.0,20221104
357,759277499,31.0,1.0,115.0,20221104
358,-442177943,42.0,1.0,492.0,20221104
359,533141312,39.0,1.0,10.0,20221104
360,-346374511,46.0,5.0,1872.0,20221104
361,-1659645370,9.0,1.0,1147.0,20221104
362,451942780,9.0,3.0,5695.0,20221104
363,-2075883755,27.0,1.0,392.0,20221104
364,1555568783,16.0,3.0,1220.0,20221104
365,-1653233518,1.0,1.0,1698.0,20221104
366,-1462583,39.0,1.0,6496.0,20221104
367,-439003109,2.0,1.0,488.0,20221104
368,-2019552518,35.0,5.0,4654.0,20221104
369,-1236109532,37.0,1.0,2043.0,20221104
370,466813238,9.0,1.0,3039.0,20221104
371,-1974787537,54.0,3.0,1423.0,20221104
372,-1764709543,7.0,1.0,632.0,20221104
373,-1468067721,1.0,3.0,8621.0,20221104
374,2074384143,8.0,1.0,2706.0,20221104
375,1241514983,19.0,1.0,34.0,20221104
376,1488948048,49.0,3.0,173.0,20221104
377,-1198950890,6.0,1.0,237.0,20221104
378,2078331795,48.0,1.0,857.0,20221104
379,-812471606,1.0,1.0,20.0,20221104
380,96320681,46.0,1.0,1298.0,20221104
381,717108613,1.0,1.0,8.0,20221104
382,74982823,1.0,1.0,53.0,20221104
383,-545682553,27.0,1.0,32.0,20221104
384,-1227585123,30.0,5.0,581.0,20221104
385,1844401320,50.0,9.0,8082.0,20221104
386,-714021996,41.0,3.0,1967.0,20221104
387,1017434418,17.0,1.0,1313.0,20221104
388,-1549392497,52.0,5.0,1568.0,20221104
389,-1432461379,23.0,5.0,3657.0,20221104
390,1836724994,18.0,3.0,425.0,20221104
391,133595430,7.0,1.0,761.0,20221104
392,-1638984856,8.0,1.0,22.0,20221104
393,-840362472,13.0,1.0,1080.0,20221104
394,583485604,40.0,1.0,2354.0,20221104
395,-235957082,29.0,1.0,3735.0,20221104
396,1536780696,42.0,1.0,3386.0,20221104
397,1978248643,12.0,1.0,1210.0,20221104
398,-1969153819,27.0,1.0,100.0,20221104
399,1924899804,15.0,1.0,2296.0,20221104
400,-995527838,31.0,1.0,1551.0,20221104
401,-1851073768,19.0,1.0,2083.0,20221104
402,-560482451,50.0,1.0,893.0,20221104
403,369010654,12.0,1.0,773.0,20221104
404,-1949071216,9.0,1.0,459.0,20221104
405,951495553,1.0,1.0,1454.0,20221104
406,-325405077,18.0,3.0,1411.0,20221104
407,-1762166131,8.0,1.0,750.0,20221104
408,911996017,28.0,1.0,762.0,20221104
409,-123175977,1.0,1.0,0.0,20221104
410,-1276949778,75.0,13.0,32238.0,20221104
411,-1311672436,9.0,7.0,1631.0,20221104
412,1029685628,31.0,1.0,6222.0,20221104
413,-1696035890,15.0,5.0,1158.0,20221104
414,-73852908,38.0,3.0,4864.0,20221104
415,-346193170,38.0,1.0,1352.0,20221104
416,-1231934025,25.0,1.0,6172.0,20221104
417,-1412179479,1.0,1.0,9596.0,20221104
418,1201906277,20.0,1.0,1959.0,20221104
419,-738441147,8.0,1.0,22.0,20221104
420,-1587849582,28.0,1.0,453.0,20221104
421,-577348967,23.0,1.0,22.0,20221104
422,-1518919500,35.0,1.0,2709.0,20221104
423,-19803713,1.0,1.0,120.0,20221104
424,1615180944,23.0,1.0,3455.0,20221104
425,-746245109,24.0,1.0,2657.0,20221104
426,1444214070,5.0,1.0,897.0,20221104
427,-1056211079,26.0,5.0,1445.0,20221104
428,1870115293,27.0,1.0,314.0,20221104
429,-734049616,35.0,1.0,1426.0,20221104
430,-1866436883,1.0,1.0,210.0,20221104
431,84807898,10.0,1.0,476.0,20221104
432,-490534308,6.0,1.0,213.0,20221104
433,980952093,48.0,1.0,1004.0,20221104
434,-1368249788,1.0,1.0,330.0,20221104
435,1394633667,1.0,1.0,0.0,20221104
436,-780507369,22.0,9.0,1418.0,20221104
437,1191567416,45.0,7.0,395.0,20221104
438,-486557259,47.0,3.0,3955.0,20221104
439,1545291601,46.0,5.0,1716.0,20221104
440,354786247,20.0,3.0,54.0,20221104
441,1633775221,8.0,1.0,538.0,20221104
442,315341562,41.0,1.0,34.0,20221104
443,-865576973,8.0,1.0,8.0,20221104
444,1081082747,32.0,1.0,1132.0,20221104
445,1282071485,14.0,1.0,894.0,20221104
446,409590792,31.0,1.0,6923.0,20221104
447,-493143577,16.0,3.0,584.0,20221104
448,-794579694,47.0,9.0,86.0,20221104
449,2139175500,32.0,3.0,132.0,20221104
450,-1804923405,7.0,1.0,264.0,20221104
451,2071791605,36.0,3.0,1642.0,20221104
452,1281522284,28.0,3.0,665.0,20221104
453,-305177487,39.0,3.0,1322.0,20221104
454,-2105543989,17.0,1.0,215.0,20221104
455,1406937270,5.0,1.0,140.0,20221104
456,1359379441,7.0,1.0,294.0,20221104
457,-1634441928,50.0,1.0,1038.0,20221104
458,2061949543,1.0,1.0,2070.0,20221104
459,-601692959,6.0,1.0,104.0,20221104
460,-139316230,1.0,1.0,0.0,20221104
461,-1898918521,19.0,1.0,58.0,20221104
462,-2038543478,26.0,1.0,20.0,20221104
463,-536974515,19.0,3.0,1430.0,20221104
464,1449386598,4.0,1.0,87.0,20221104
465,-1119337104,65.0,11.0,1412.0,20221104
466,452145866,11.0,1.0,34.0,20221104
467,926521196,53.0,13.0,3249.0,20221104
468,1302618781,40.0,1.0,37.0,20221104
469,-648582292,14.0,1.0,866.0,20221104
470,526503392,16.0,1.0,92.0,20221104
471,-1636442849,32.0,1.0,2468.0,20221104
472,-653282171,57.0,7.0,614.0,20221104
473,285336261,17.0,1.0,1254.0,20221104
474,1978619545,18.0,1.0,1788.0,20221104
475,-1072420082,22.0,1.0,1079.0,20221104
476,1564012277,7.0,1.0,352.0,20221104
477,-2033180107,49.0,3.0,120.0,20221104
478,-1570648348,26.0,1.0,137.0,20221104
479,-1828319776,34.0,1.0,2176.0,20221104
480,246976048,24.0,1.0,34.0,20221104
481,-693530299,60.0,9.0,3396.0,20221104
482,-326890277,11.0,1.0,1421.0,20221104
483,1653028057,45.0,1.0,1362.0,20221104
484,896568661,1.0,1.0,0.0,20221104
485,-1230959892,2.0,1.0,0.0,20221104
486,714941136,82.0,15.0,36484.0,20221104
487,-43641627,13.0,1.0,315.0,20221104
488,1138166387,19.0,1.0,2683.0,20221104
489,-931440675,38.0,9.0,479.0,20221104
490,-1364002254,1.0,1.0,2158.0,20221104
491,17400932,13.0,7.0,949.0,20221104
492,1794242538,6.0,3.0,222.0,20221104
493,-1095934539,11.0,1.0,246.0,20221104
494,-1868291740,21.0,1.0,281.0,20221104
495,-92880576,31.0,1.0,1401.0,20221104
496,843829697,32.0,7.0,2933.0,20221104
497,-196822905,18.0,1.0,1311.0,20221104
498,-1077452787,1.0,1.0,149.0,20221104
499,-2110424390,5.0,1.0,4071.0,20221104
500,-1674625737,32.0,1.0,2470.0,20221104
501,-707891269,5.0,1.0,1057.0,20221104
502,-879758082,22.0,1.0,2943.0,20221104
503,1904234487,12.0,1.0,275.0,20221104
504,-162880493,32.0,1.0,569.0,20221104
505,551404003,3.0,1.0,1963.0,20221104
506,954129880,16.0,1.0,1962.0,20221104
507,-666503440,43.0,1.0,9.0,20221104
508,-72709287,48.0,1.0,1349.0,20221104
509,18196506,46.0,1.0,631.0,20221104
510,1377801460,36.0,1.0,709.0,20221104
511,-1149291833,32.0,3.0,241.0,20221104
512,-520768673,34.0,1.0,182.0,20221104
513,1673282579,21.0,1.0,4.0,20221104
514,-1710386084,31.0,3.0,2914.0,20221104
515,2023978989,1.0,3.0,3146.0,20221104
516,1465492866,53.0,9.0,7788.0,20221104
517,1829814911,22.0,1.0,23.0,20221104
518,419193662,26.0,1.0,882.0,20221104
519,-784414976,15.0,1.0,1280.0,20221104
520,-1787838825,8.0,1.0,384.0,20221104
521,998387207,24.0,1.0,1261.0,20221104
522,-1800512660,3.0,1.0,295.0,20221104
